"scientific_name","hosts"
"Ceratocystis fagacearum","Castanea (chestnuts), Quercus (oaks), Quercus ellipsoidalis (Northern pin oak), Quercus robur (common oak), Quercus rubra (northern red oak), Quercus steenisii, Quercus virginiana (Live oak)"
"Hylurgus ligniperda","Pinus armena, Pinus brutia (brutian pine), Pinus canariensis (Canary pine), Pinus elliottii (slash pine), Pinus halepensis (Aleppo pine), Pinus montezumae (montezuma pine), Pinus nigra (black pine), Pinus nigra var. pallasiana, Pinus patula (Mexican weeping pine), Pinus pinaster (maritime pine), Pinus pinea (stone pine), Pinus radiata (radiata pine), Pinus strobus (eastern white pine), Pinus sylvestris (Scots pine)"
"Ips typographus","Abies (firs), Abies sachalinensis (Sakhalin fir), Larix (larches), Picea (spruces), Picea abies (common spruce), Picea jezoensis (Yeddo spruce), Picea obovata (Siberian spruce), Picea omorika (Pancic spruce), Picea orientalis (oriental spruce), Picea pungens (blue spruce), Pinus strobus (eastern white pine), Pinus sylvestris (Scots pine), Pseudotsuga menziesii (Douglas-fir)"
"Ceratocystis platani","Platanus acerifolia (London planetree), Platanus occidentalis (sycamore), Platanus orientalis (plane)"
"Dryocoetes confusus","Abies amabilis (Pacific silver fir), Abies balsamea (balsam fir), Abies bifolia, Abies bifolia x Abies lasiocarpa, Abies concolor (Rocky Mountain white fir), Abies grandis (grand fir), Abies lasiocarpa (rocky mountain fir), Picea engelmannii (Engelmann spruce)"
"Ips cembrae","Larix decidua (common larch), Larix kaempferi (Japanese larch), Picea (spruces), Pinus (pines), Pinus cembra (arolla pine)"
"Aphis spiraecola","Abelia grandiflora (glossy abelia), Annona, Annona muricata (soursop), Apium graveolens (celery), Aptenia cordifolia, Aronia melanocarpa (black chokeberry), Astragalus sinicus (Chinese clover), Capsicum annuum (bell pepper), Carica papaya (pawpaw), Chromolaena odorata (Siam weed), Citrus, Citrus clementina, Citrus limon (lemon), Citrus reticulata (mandarin), Citrus sinensis (sweet orange), Coriandrum sativum (coriander), Cotoneaster, Crataegus (hawthorns), Cucumis sativus (cucumber), Cucurbita (pumpkin), Cyathula prostrata (pasture weed), Cydonia oblonga (quince), Cynodon dactylon (Bermuda grass), Cyphomandra betacea (tree tomato), Daucus carota (carrot), Eriobotrya japonica (loquat), Glycine max (soyabean), Hebe, Hibiscus rosa-sinensis (Chinese rose), Juglans regia (walnut), Lactuca sativa (lettuce), Macadamia ternifolia (Queensland nut), Malus (ornamental species apple), Malus domestica (apple), Mikania micrantha (bitter vine), Nicotiana, Passiflora edulis (passionfruit), Persea americana (avocado), Phaseolus vulgaris (common bean), Pisum sativum (pea), Pittosporum tobira (Japanese pittosporum), Prunus (stone fruit), Prunus armeniaca (apricot), Prunus persica (peach), Prunus salicina (Japanese plum), Pyrus communis (European pear), Saccharum officinarum (sugarcane), Solanum americanum (black nightshade), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum tuberosum (potato), Sorghum bicolor (sorghum), Spiraea, Spiraea japonica (Japanese spirea), Spiraea thunbergii (Thunberg&apos;s spiraea), Spiraea vanhouttei (Bridal wreath), Theobroma cacao (cocoa), Viburnum, Viburnum odoratissimum, Viburnum tinus, Vigna unguiculata (cowpea), Vitis vinifera (grapevine), Zea mays (maize)"
"Ips subelongatus","Abies (firs), Larix (larches), Larix gmelinii (Dahurian larch), Larix kaempferi (Japanese larch), Larix sibirica (Siberian larch), Picea (spruces), Pinus (pines), Pinus koraiensis (fruit pine), Pinus sibirica (Siberian stone pine), Pinus sylvestris (Scots pine)"
"Tremex fuscicornis","Acer negundo (box elder), Acer platanoides (Norway maple), Alnus japonica (Japanese alder), Alnus sp., Betula pubescens (Downy birch), Betula sp., Carpinus betulus (hornbeam), Celtis sinensis (Chinese elm), Fagus sp., Fagus sylvatica (common beech), Juglans regia (walnut), Populus alba (silver-leaf poplar), Populus deltoides (poplar), Populus nigra (black poplar), Populus nigra var. italica, Populus sp. (poplar), Populus tremula (aspen (European)), Prunus serrulata var. spontanea, Prunus sp., Prunus x yedoensis, Pterocarya stenoptera (chinese wing nut), Quercus sp., Robinia pseudoacacia (black locust), Salix babylonica (weeping willow), Salix humboldtiana (pencil willow), Salix sp., Ulmus davidiana (japanese elm), Ulmus davidiana var. japonica, Ulmus propinqua [U. davidiana var. japonica], Ulmus sp., Zelkova serrata (Japanese selkova), Zelkova sp."
"Solanum americanum","Abelmoschus esculentus (okra), Allium cepa (onion), Beta vulgaris var. saccharifera (sugarbeet), Chrysanthemum (daisy), Citrus, Citrus sinensis (sweet orange), Cucumis (melons, cucuimbers, gerkins), Gossypium (cotton), Helianthus annuus (sunflower), Oryza sativa (rice), Prunus dulcis (almond), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum tuberosum (potato), Spinacia oleracea (spinach), Triticum aestivum (wheat), Zea mays (maize)"
"Mycosphaerella fijiensis","Digitaria (crabgrass), Heliconia psittacorum, Musa (banana), Sphagneticola trilobata (wedelia), Xanthosoma robustum"
"Solanum nigrum","Allium cepa (onion), Ananas comosus (pineapple), Arachis hypogaea (groundnut), Beta vulgaris (beetroot), Camellia sinensis (tea), Capsicum annuum (bell pepper), Chamomilla recutita (common chamomile), Cicer arietinum (chickpea), Citrus, Coffea (coffee), Glycine max (soyabean), Gossypium (cotton), Helianthus annuus (sunflower), Hordeum (barleys), Ipomoea batatas (sweet potato), Lupinus (lupins), Musa (banana), Musa textilis (manila hemp), Phaseolus lunatus (lima bean), Phaseolus vulgaris (common bean), Pisum sativum (pea), Populus (poplars), Ricinus communis (castor bean), Saccharum officinarum (sugarcane), Salix (willows), Sesamum indicum (sesame), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Sorghum bicolor (sorghum), Triticum aestivum (wheat), Vitis vinifera (grapevine), Zea mays (maize)"
"Plantago lanceolata","Citrus, Gossypium spp., Helianthus annuus (sunflower), Hordeum vulgare (barley), Mangifera indica (mango), Medicago sativa (lucerne), Pistacia vera (pistachio), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Triticum aestivum (wheat)"
"Striga hermonthica","Brachiaria (signalgrass), Cymbopogon, Cynodon (quickgrass), Dactyloctenium aegyptium (crowfoot grass), Eleusine coracana (finger millet), Eleusine indica (goose grass), Eragrostis tef (teff), Hordeum vulgare (barley), Oryza sativa (rice), Panicum (millets), Panicum walense, Paspalum scrobiculatum (ricegrass paspalum), Pennisetum glaucum (pearl millet), Rottboellia cochinchinensis (itch grass), Saccharum officinarum (sugarcane), Sorghum, Sorghum bicolor (sorghum), Sorghum halepense (Johnson grass), Zea mays (maize)"
"Tilletia controversa","Agropyron (wheatgrass), Elymus (wildrye), Hordeum vulgare (barley), Poaceae (grasses), Secale cereale (rye), Triticum (wheat), Triticum aestivum (wheat)"
"Verticillium dahliae","Abelmoschus esculentus (okra), Acer palmatum (Japanese maple), Acer platanoides (Norway maple), Acer pseudoplatanus (sycamore), Acer saccharinum (silver maple), Acer truncatum (truncate-leaved maple), Actinidia, Ageratum, Ailanthus, Ailanthus altissima (tree-of-heaven), Albizia julibrissin (silk tree), Allium cepa (onion), Allium sativum (garlic), Amaranthus (amaranth), Amaranthus retroflexus (redroot pigweed), Ambrosia (Ragweed), Anoda cristata (Anodaweed), Anthemis (chamomile), Antirrhinum majus (snapdragon), Arachis hypogaea (groundnut), Aralia cordata (spikenard), Armoracia rusticana (horseradish), Artemisia absinthium (Wormwood), Artemisia annua, Aster, Astragalus adsurgens, Atropa belladonna (deadly nightshade), Aucuba japonica (Japanese aucuba), Basella alba (malabar spinach), Bauhinia purpurea (purple bauhinia), Benincasa hispida (wax gourd), Berberis (barberries), Beta vulgaris (beetroot), Beta vulgaris var. saccharifera (sugarbeet), Blighia sapida (akee apple), Brassica campestris, Brassica napus var. napus (rape), Brassica oleracea (cabbages, cauliflowers), Brassica oleracea var. botrytis (cauliflower), Brassica oleracea var. gemmifera (Brussels sprouts), Brassica rapa subsp. chinensis (Chinese cabbage), Callistephus chinensis (China aster), Capsella bursa-pastoris (shepherd's purse), Capsicum (peppers), Capsicum annuum (bell pepper), Carpobrutus, Carthamus tinctorius (safflower), Carya illinoinensis (pecan), Castanea sativa (chestnut), Cercis chinensis, Chamomilla recutita (common chamomile), Chenopodium album (fat hen), Chrysanthemum indicum (chrysanthemum), Cicer arietinum (chickpea), Cichorium (chicory), Cirsium arvense (creeping thistle), Cistus (rockrose), Citrullus lanatus (watermelon), Convolvulus arvensis (bindweed), Corchorus olitorius (jute), Cosmos bipinnatus (garden cosmos), Cotinus coggygria (fustet), Cucumis (melons, cucuimbers, gerkins), Cucumis melo (melon), Cucumis sativus (cucumber), Cucurbita pepo (marrow), Cydonia oblonga (quince), Cynara cardunculus (cardoon), Cynara cardunculus var. scolymus (globe artichoke), Cytisus scoparius (Scotch broom), Dahlia, Dahlia pinnata (garden dahlia), Daphne mezereum (mezereon), Datura (thorn-apple), Echinacea purpurea (purple coneflower), Echinops, Elaeagnus angustifolia (Russian olive), Euphorbia pulcherrima (poinsettia), Ficus microcarpa (Indian laurel tree), Fragaria ananassa (strawberry), Fragaria vesca (wild strawberry), Fraxinus americana (white ash), Fraxinus angustifolia (narrow-leaved ash), Fraxinus excelsior (ash), Fraxinus pennsylvanica (downy ash), Fuchsia, Geranium (cranesbill), Gerbera jamesonii (African daisy), Glycine max (soyabean), Glycyrrhiza uralensis, Gossypium (cotton), Gossypium hirsutum (Bourbon cotton), Hedera (Ivy), Helianthus annuus (sunflower), Helichrysum, Hibiscus cannabinus (kenaf), Hippophae rhamnoides (sea buckthorn), Hoheria populnea, Humulus lupulus (hop), Impatiens balsamina (garden balsam), Impatiens hawkeri, Impatiens walleriana (busy lizzy), Ipomoea purpurea (silk tree) (tall morning glory), Koelreuteria, Koelreuteria paniculata (golden rain tree), Lactuca sativa (lettuce), Lampranthus, Lathyrus (Vetchling), Laurus (laurel), Liatris (gayfeathers), Ligustrum vulgare (common privet), Linum usitatissimum (flax), Lolium (ryegrasses), Lonicera (honeysuckles), Lupinus (lupins), Lupinus albus (white lupine), Lupinus angustifolius (narrow-leaf lupin), Lupinus polyphyllus (garden lupin), Lycium barbarum (Matrimonyvine), Mahonia (holly grape), Malva sylvestris, Malvaviscus arboreus (wax mallow), Mangifera indica (mango), Manihot esculenta (cassava), Matthiola incana (stock), Medicago sativa (lucerne), Mentha (mints), Mentha gracilis, Mentha piperita (Peppermint), Mentha spicata (Spear mint), Nicotiana, Nicotiana tabacum (tobacco), Olea europaea, Olea europaea subsp. europaea (European olive), Osmanthus, Osteospermum, Papaver (poppies), Pelargonium (pelargoniums), Peperomia obtusifolia (pepper-face), Persea americana (avocado), Phaseolus vulgaris (common bean), Phlox, Phlox paniculata (summer perennial phlox), Physalis wrightii, Pistacia vera (pistachio), Pisum sativum (pea), Plantago lanceolata (ribwort plantain), Platycodon grandiflorus (Balloonflower), Plectranthus scutellarioides (coleus), Polygonum lapathifolium (pale persicaria), Portulaca oleracea (purslane), Protea compacta, Prunus (stone fruit), Prunus americana (American plum), Prunus avium (sweet cherry), Prunus domestica (plum), Prunus dulcis (almond), Prunus persica (peach), Prunus salicina (Japanese plum), Punica granatum (pomegranate), Quercus petraea (durmast oak), Quercus robur (common oak), Raphanus sativus (radish), Ribes nigrum (blackcurrant), Ribes sanguineum (Flowering currant), Ribes uva-crispa (gooseberry), Rosa (roses), Rosa damascena (Damask rose), Rubus fruticosus (blackberry), Rubus idaeus (raspberry), Rudbeckia fulgida, Rudbeckia hirta, Salvia officinalis (common sage), Schinus terebinthifolius (Brazilian pepper tree), Senecio (Groundsel), Senecio vulgaris, Simmondsia chinensis (jojoba), Sinapis arvensis (wild mustard), Solanum aethiopicum (african scarlet eggplant), Solanum cardiophyllum, Solanum ehrenbergii, Solanum lycopersicum (tomato), Solanum lycopersicum var. cerasiforme, Solanum melongena (aubergine), Solanum nigrum (black nightshade), Solanum sarrachoides (green nightshade), Solanum torvum (turkey berry), Solanum tuberosum (potato), Spinacia oleracea (spinach), Stevia rebaudiana, Tagetes (marigold), Taraxacum (dandelion), Tetragonia tetragonioides (New Zealand spinach), Theobroma cacao (cocoa), Tilia (limes), Trifolium alexandrinum (Berseem clover), Ulmus (elms), Vaccinium corymbosum (blueberry), Vaccinium myrtillus (blueberry), Valeriana officinalis (common valerian), Veronica persica (creeping speedwell), Viburnum, Vicia faba (faba bean), Vigna radiata (mung bean), Vitis vinifera (grapevine), Xanthium (Cocklebur), Xanthium strumarium (common cocklebur), Xanthium strumarium (common cocklebur)"
"Moniliophthora roreri","Herrania, Theobroma, Theobroma cacao (cocoa)"
"Rhabdoscelus obscurus","Aiphanes horrida, Archontophoenix alexandrae, Archontophoenix cunninghamiana, Arecaceae, Areca catechu, Bactris gasipaes, Carica papaya, Carpentaria acuminata, Clinostigma savoryanum, Cocos nucifera, Dictyosperma album, Dypsis decaryi, Dypsis lutescens, Dypsis madagascariensis, Dypsis nodifera, Dypsis spp., Elaeis guineensis, Euterpe spp., Hyophorbe lagenicaulis, Inocarpus fagiferus, Licuala spp., Metroxylon sagu, Metroxylon salomonense, Metroxylon spp., Musa spp., Musa x paradisiaca [M. paradisiaca], Normanbya normanbyi, Phoenix canariensis, Phoenix roebelenii, Pigafetta filaris, Poaceae, Pritchardia pacifica, Ptychosperma elegans, Ravenala madagascariensis, Roystonea regia, Roystonea spp., Sabal palmetto, Saccharum spp., Saccharum officinarum, Strelitzia reginae, Syagrus romanzoffiana, Wodyetia bifurcata, Zea mays"
"Xyleborus similis","Agathis, Artocarpus integer (champedak), Boswellia serrata (Indian olibanum tree), Bruguiera parvifolia, Camellia sinensis (tea), Dipterocarpus baudii, Dryobalanops aromatica (Borneo camphorwood), Durio zibethinus (durian), Erythrina subumbrans (December tree), Falcataria moluccana (batai wood), Ficus religiosa (sacred fig tree), Hevea brasiliensis (rubber), Intsia palembanica (ironwood), Mangifera indica (mango), Manihot glaziovii (ceara rubber), Pometia pinnata (fijian longan), Pterocarpus indicus (red sandalwood), Rhizophora mucronata (true mangrove), Shorea leprosula, Styrax benzoin (gum Benjamin), Syzygium cumini (black plum), Tectona grandis (teak), Terminalia bellirica (beleric myrobalan), Theobroma cacao (cocoa)"
"Elytroteinus geophilus","Alocasia, Barringtonia, Begonia, Citrus limon (lemon), Colocasia esculenta (taro), Cordyline fruticosa (ti plant), Crinum, Cycas, Dioscorea (yam), Hedychium coronarium (white butterfly ginger lily), Hemerocallis (daylilies), Hibiscus sabdariffa (Roselle), Inocarpus fagifer, Ipomoea batatas (sweet potato), Marattia douglasii, Ophiopogon japonicus, Passiflora edulis (passionfruit), Persea americana (avocado), Piper methysticum (kava), Saccharum, Strelitzia reginae (Queens bird-of-paradise), Vanilla planifolia (vanilla), Zingiber officinale (ginger)"
"Raffaelea lauricola","Cinnamomum camphora (camphor laurel), Laurus nobilis (sweet bay), Lindera melissifolia, Litsea, Litsea aestivalis, Persea americana (avocado), Persea borbonia, Persea humilis, Persea palustris, Sassafras, Sassafras albidum (common sassafras)"
"Tropaeolum majus","Chrysanthemum (daisy)"
"Colletotrichum queenslandicum","Anacardium occidentale (cashew nut), Carica papaya (pawpaw), Citrus latifolia (tahiti lime), Coffea (coffee), Laguncularia racemosa (white mangrove), Mangifera indica (mango), Nephelium lappaceum (rambutan), Olea europaea, Passiflora edulis (passionfruit), Persea americana (avocado), Syzygium australe"
"Colletotrichum tropicale","Anacardium occidentale (cashew nut), Annona cherimola (cherimoya), Annona muricata (soursop), Bauhinia forficata, Carica papaya (pawpaw), Cariniana legalis, Cattleya labiata, Cattleya maikai, Coffea canephora (robusta coffee), Copernicia prunifera, Ficus binnendijkii var. variegata, Litchi chinensis (lichi), Malpighia emarginata, Mangifera indica (mango), Manihot dichotoma, Manihot epruinosa, Manihot esculenta (cassava), Morinda citrifolia (Indian mulberry), Musa (banana), Myrciaria cauliflora (jaboticaba), Myrciaria dubia, Origanum vulgare (oregano), Passiflora edulis f. flavicarpa, Pentagonia macrophylla, Persea americana (avocado), Punica granatum (pomegranate), Sauropus androgynus, Theobroma cacao (cocoa), Virola surinamensis (banak)"
"Coniothyrium glycines","Glycine max (soyabean), Neonotonia wightii (perennial soybean)"
"Phyllachora maydis","Zea, Zea mays (maize)"
"Dendrolimus pini","Abies alba (silver fir), Abies grandis (grand fir), Cedrus deodara (Himalayan cedar), Picea abies (common spruce), Picea sitchensis (Sitka spruce), Pinus contorta (lodgepole pine), Pinus halepensis (Aleppo pine), Pinus mugo (mountain pine), Pinus nigra (black pine), Pinus pinaster (maritime pine), Pinus pinea (stone pine), Pinus ponderosa (ponderosa pine), Pinus sibirica (Siberian stone pine), Pinus strobus (eastern white pine), Pinus sylvestris (Scots pine), Pinus thunbergii (Japanese black pine), Pseudotsuga menziesii (Douglas-fir), Tsuga canadensis (eastern hemlock)"
"Tibraca limbativentris","Andropogon bicornis, Andropogon lateralis, Attalea speciosa, Brachiaria mutica, Cyperus (flatsedge), Cyperus entrerianus (deeprooted sedge), Digitaria sanguinalis (large crabgrass), Echinochloa colona (junglerice), Elionurus muticus, Eryngium eburneum, Glycine max (soyabean), Hymenachne amplexicaulis (hymenachne), Murdannia nudiflora (doveweed), Oryza sativa (rice), Paspalum almum, Paspalum plicatulum, Paspalum urvillei (Vasey grass), Paspalum wrightii, Rhynchospora corymbosa, Rottboellia cochinchinensis (itch grass), Schizachyrium condensatum (Colombian bluestem), Solanum lycopersicum (tomato), Tridens brasiliensis, Triticum (wheat), Zea mays (maize)"
"Euphorbia hirta","Allium cepa (onion), Ananas comosus (pineapple), Annona cherimola (cherimoya), Arachis hypogaea (groundnut), Brassica napus var. napus (rape), Cajanus cajan (pigeon pea), Camellia sinensis (tea), Carica papaya (pawpaw), Chrysanthemum (daisy), Citrus, Cocos nucifera (coconut), Coffea (coffee), Corchorus olitorius (jute), Glycine max (soyabean), Gossypium (cotton), Helianthus annuus (sunflower), Litchi chinensis (lichi), Macadamia integrifolia (macadamia nut), Mangifera indica (mango), Manihot esculenta (cassava), Morus alba (mora), Musa (banana), Nicotiana tabacum (tobacco), Oryza sativa (rice), Phaseolus (beans), Phoenix dactylifera (date-palm), Prunus persica (peach), Psidium guajava (guava), Punica granatum (pomegranate), Pyrus communis (European pear), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato), Sorghum bicolor (sorghum), Theobroma cacao (cocoa), Triticum (wheat), Triticum aestivum (wheat), Vigna mungo (black gram), Vigna radiata (mung bean), Vitis (grape), Vitis vinifera (grapevine), Zea mays (maize)"
"Tetropium staudingeri","Picea schrenkiana"
"Nomadacris septemfasciata","Agave sisalana, Anacardium occidentale, Ananas comosus, Arachis hypogaea, Arecaceae, Bambusa, Brassica campestris var. rapa, Brassica oleracea var. capitata, Cajanus cajan, Cicer arietinum, Citrus, Citrus limon, Citrus paradisi, Citrus reticulata, Citrus sinensis, Cocos nucifera, Coffea (coffee), Cucurbita, Elaeis guineensis, Eleusine coracana (finger millet), Gossypium herbaceum (short staple cotton), Helianthus annuus, Ipomoea batatas, Malus domestica, Mangifera indica, Manihot esculenta (cassava), Medicago sativa, Mucuna pruriens, Nicotiana tabacum (tobacco), Oryza sativa (rice), Panicum, Pennisetum glaucum, Persea americana, Phaseolus, Phaseolus vulgaris, Pisum sativum, Poaceae (grasses), Prunus domestica, Prunus persica, Psidium guajava, Saccharum officinarum, Secale cereale, Sesamum indicum, Solanum tuberosum, Sorghum bicolor (sorghum), Triticum aestivum (wheat), Vigna unguiculata, Zea mays (maize)"
"Euwallacea fornicatus","Acer buergerianum (trident maple), Acer macrophyllum (broadleaf maple), Acer negundo (box elder), Acer palmatum (Japanese maple), Acer pseudoplatanus (sycamore), Albizia julibrissin (silk tree), Ilex cornuta (Chinese holly), Liquidambar styraciflua (Sweet gum), Parkinsonia aculeata (Mexican palo-verde), Persea americana (avocado), Platanus occidentalis (sycamore), Platanus orientalis (plane), Quercus agrifolia (California live oak), Quercus coccifera (kermes oak), Quercus robur (common oak), Ricinus communis (castor bean)"
"Thrips parvispinus","Abelmoschus esculentus (okra), Abutilon (Indian mallow), Ageratum, Allium cepa var. aggregatum (shallot), Alocasia, Alternanthera (Joyweed), Amaranthus (amaranth), Amaranthus hybridus (smooth pigweed), Anthurium andraeanum, Arachis hypogaea (groundnut), Axonopus (carpetgrasses), Azadirachta indica (neem tree), Bidens pilosa (blackjack), Brassica juncea (mustard), Brassica oleracea var. alboglabra (Chinese kale), Brassica oleracea var. italica (broccoli), Brassica rapa (field mustard), Brugmansia, Cajanus cajan (pigeon pea), Camellia sinensis (tea), Capsicum annuum (bell pepper), Capsicum frutescens (chilli), Carica papaya (pawpaw), Chrysanthemum indicum (chrysanthemum), Citrullus lanatus (watermelon), Citrus, Coccinia grandis (scarlet-fruited ivy gourd), Coccoloba uvifera (sea grape), Coffea (coffee), Coriandrum sativum (coriander), Crotalaria (rattlepods), Cucumis melo (melon), Cucumis sativus (cucumber), Cucurbita (pumpkin), Cucurbita pepo (marrow), Dahlia pinnata (garden dahlia), Daucus carota (carrot), Dendrobium spp. (pigeon orchid), Ficus, Fragaria vesca (wild strawberry), Gardenia jasminoides (cape jasmine), Gerbera jamesonii (African daisy), Gossypium (cotton), Gossypium barbadense (Gallini cotton), Helianthus annuus (sunflower), Heliconia, Hibiscus cannabinus (kenaf), Hibiscus rosa-sinensis (Chinese rose), Hoya carnosa (Wax plant), Ipomoea aquatica (swamp morning-glory), Ipomoea batatas (sweet potato), Ipomoea reptans (water spinach), Ixora coccinea (flame-of-the-woods), Jasminum (jasmine), Lactuca sativa (lettuce), Lagenaria siceraria (bottle gourd), Limnocharis flava (yellow bur-head), Luffa acutangula (angled luffa), Mandevilla, Mangifera indica (mango), Manihot esculenta (cassava), Melastoma malabathricum (Banks melastoma), Mimosa pudica (sensitive plant), Momordica charantia (bitter gourd), Moringa oleifera (horse radish tree), Nephelium lappaceum (rambutan), Nicotiana tabacum (tobacco), Ocimum tenuiflorum (holy basil), Orchidaceae (orchids), Pachyrhizus erosus (yam bean), Parthenium, Pelargonium (pelargoniums), Phaseolus vulgaris (common bean), Plectanthrus (little spurflower), Pongamia (Indian beech), Psidium guajava (guava), Psophocarpus tetragonolobus (winged bean), Rosa (roses), Rosa hybrida, Ruellia, Salvia (sage), Sauropus androgynus, Schefflera arboricola, Sechium edule (chayote), Sesamum indicum (sesame), Solanum aethiopicum (african scarlet eggplant), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum nigrum (black nightshade), Solanum torvum (turkey berry), Solanum tuberosum (potato), Sorghum, Spathiphyllum, Stephanotis floribunda (madagascar stephanotis), Tabernaemontana divaricata (crepe jasmine), Tagetes (marigold), Tamarindus indica (tamarind), Thunbergia, Vigna (cowpea), Vigna mungo (black gram), Vigna radiata (mung bean), Vigna unguiculata (cowpea), Vigna unguiculata subsp. sesquipedalis (asparagus bean), Wrightia, Zea mays (maize)"
"Euwallacea perbrevis","Acacia decurrens (green wattle), Artocarpus altilis (breadfruit), Artocarpus integer (champedak), Austroeupatorium inulifolium, Azadirachta indica (neem tree), Bixa orellana (annatto), Calliandra houstoniana var. calothyrsus (calliandra), Camellia sinensis (tea), Castanopsis (evergreen chinkapin), Ceiba pentandra (kapok), Cinchona calisaya (quinine), Citrus aurantiaca, Crotalaria (rattlepods), Durio zibethinus (durian), Erythrina subumbrans (December tree), Falcataria moluccana (batai wood), Flemingia macrophylla (large leaf flemingia), Gmelina arborea (candahar), Grevillea robusta (silky oak), Hevea brasiliensis (rubber), Jacaranda mimosifolia (jacaranda), Litchi chinensis (lichi), Macadamia integrifolia (macadamia nut), Mangifera indica (mango), Persea americana (avocado), Platanus acerifolia (London planetree), Psidium guajava (guava), Punica granatum (pomegranate), Ricinus communis (castor bean), Robinia pseudoacacia (black locust), Schleichera oleosa (Macassar oil tree), Tectona grandis (teak), Tephrosia (hoary-pea), Terminalia catappa (Singapore almond), Theobroma cacao (cocoa)"
"Xanthomonas citri pv. citri","Aegle marmelos (golden apple), Ageratum conyzoides (billy goat weed), Casimiroa edulis (white sapote), Citrus, Citrus aurantiifolia (lime), Citrus aurantium (sour orange), Citrus clementina, Citrus hystrix (mauritius bitter orange), Citrus jambhiri (rough lemon), Citrus junos (yuzu), Citrus karna, Citrus latifolia (tahiti lime), Citrus limetta (sweet lemon tree), Citrus limettioides (palestine sweet lime), Citrus limon (lemon), Citrus limonia (mandarin lime), Citrus macrophylla (alemow), Citrus macroptera, Citrus madurensis (calamondin), Citrus maxima (pummelo), Citrus medica (citron), Citrus natsudaidai (natsudaidai), Citrus reshni (Cleopatra mandarin), Citrus reticulata (mandarin), Citrus reticulata x Poncirus trifoliata (citrumelo), Citrus sinensis (sweet orange), Citrus sunki (sour mandarin), Citrus tachibana, Citrus tankan (tankan mandarin), Citrus unshiu (satsuma), Citrus volkameriana, Citrus x paradisi (grapefruit), Digitaria insularis (sourgrass), Eremocitrus glauca (Australian desert lime), Fortunella japonica (round kumquat), Fortunella margarita (oval kumquat), Limonia acidissima (elephant apple), Mangifera indica (mango), Poncirus trifoliata (Trifoliate orange)"
"Hypothenemus hampei","Bertholletia excelsa (Brazil nut), Coffea (coffee), Coffea arabica (arabica coffee), Coffea canephora (robusta coffee)"
"Cannabis sativa","Triticum aestivum (wheat), Zea mays (maize)"
"Xanthomonas axonopodis pv. phaseoli","Ambrosia artemisiifolia, Beta vulgaris, Calopogonium, Chenopodium album, Digitaria abyssinica, Echinochloa crus-galli, Glycine max, Helianthus annuus, Lablab purpureus (hyacinth bean), Lens culinaris, Macroptilium lathyroides (phasey bean), Mucuna deeringiana [Mucuna pruriens], Phaseolus aconitifolius [Vigna aconitifolia], Phaseolus acutifolius, Phaseolus coccineus (runner bean), Phaseolus lunatus (Lima bean), Phaseolus vulgaris (common bean), Pisum sativum (pea), Pueraria, Senna hirsuta, Solanum nigrum [Solanum americanum], Strophostyles helvola, Vigna aconitifolia (moth bean), Vigna angularis, Vigna mungo (black gram), Vigna radiata (mung bean), Vigna umbellata (rice bean), Vigna unguiculata (cowpea), Zea mays"
"Xylosandrus mutilatus","Acer (maples), Acer palmatum (Japanese maple), Acer rubrum (red maple), Acer saccharum (sugar maple), Acer sieboldianum, Albizia, Camellia, Carpinus laxiflora, Carya (hickories), Castanea (chestnuts), Cinnamomum camphora (camphor laurel), Cornus (Dogwood), Cryptomeria japonica (Japanese cedar), Fagus crenata (Japanese beech), Juglans nigra (black walnut), Lindera (spicebush), Lindera erythrocarpa, Lindera praecox, Lindera triloba, Liquidambar styraciflua (Sweet gum), Liriodendron tulipifera (tuliptree), Melia azedarach (Chinaberry), Ormosia hosiei, Osmanthus fragrans, Ostrya virginiana (American hophornbeam), Persea thunbergii, Pinus taeda (loblolly pine), Platycarya, Prunus americana (American plum), Prunus serotina (black cherry), Swietenia macrophylla (big leaved mahogany), Ulmus alata (Winged elm), Vitis rotundifolia (Muscadine grape)"
"Euphorbia esula","Anemone canadensis (Canada anemone), Oryza sativa (rice), Platanthera praeclara (western prairie fringed orchid), Rosa arkansana (prairie wild rose)"
"Ophiostoma novo-ulmi","Ulmus (elms), Ulmus alata (Winged elm), Ulmus americana (American elm), Ulmus glabra (mountain elm), Ulmus laevis (Russian white elm), Ulmus minor (European field elm), Ulmus procera (english elm), Ulmus pumila (dwarf elm), Ulmus rubra (slippery elm), Ulmus serotina (red elm), Ulmus thomasii (rock elm), Zelkova carpinifolia (caucasian elm)"
"Azadirachta indica","Mangifera indica (mango)"
